,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0,0.644143536,0.38074849,0.663047905,0.163650726,0.962607814,0.34666184,0.991750992,0.235057896,0.585694269,0.406690102,0.136234322,0.544136288,0.518176347,0.766855106,0.933850143,0.089703383,0.195771257,0.994193684,0.235180498,0.238986372,0.629099831,0.734952577,0.688344383,0.031130748,0.902513843
1,0.286435328,0.555612564,0.376420245,0.026624365,0.494149122,0.834715093,0.36698733,0.515382112,0.472379125,0.386152088,0.744137004,0.33524208,0.595438288,0.316133382,0.346250424,0.244831808,0.697950165,0.212080831,0.267293168,0.373894079,0.573088507,0.917358079,0.818975937,0.163180892,0.02415477
2,0.784653627,0.264857379,0.339367056,0.814369585,0.807454716,0.493561637,0.845312444,0.365189984,0.047830899,0.264145786,0.46386716,0.693355059,0.313436753,0.462536789,0.819687653,0.684491025,0.324033824,0.576811999,0.632649984,0.596461668,0.137826879,0.618001024,0.493463693,0.143612125,0.030821891
3,0.939155728,0.256837715,0.057134603,0.387708224,0.357096748,0.986384143,0.939590637,0.582775224,0.993103134,0.989914501,0.865056374,0.161718228,0.36849024,0.30672666,0.340863243,0.290477748,0.637864073,0.050654003,0.935184311,0.025844837,0.531639052,0.071603795,0.691494439,0.117087512,0.193512508
4,0.912381496,0.310712414,0.315642504,0.807030112,0.409960574,0.511943359,0.151606298,0.134350274,0.015456051,0.379013242,0.096649496,0.442186596,0.216668315,0.82690236,0.679785733,0.269429891,0.956912778,0.983392258,0.296777635,0.619486449,0.170891223,0.101641579,0.903046311,0.049059172,0.145772548
5,0.399274484,0.591281528,0.67734802,0.988658541,0.346750855,0.28639583,0.705171809,0.428808216,0.820092329,0.869419553,0.780347837,0.206483641,0.851517089,0.368334724,0.900256191,0.293911073,0.638128294,0.7894106,0.229129902,0.722571433,0.275791072,0.050430752,0.031066724,0.696981485,0.772327662
6,0.859755349,0.244737256,0.043944344,0.950973264,0.849478166,0.779192874,0.400192107,0.253711633,0.49465892,0.549470582,0.174195075,0.92952798,0.180589882,0.275806554,0.267011896,0.874926343,0.839702717,0.789213543,0.69567329,0.866780424,0.537810812,0.304511264,0.869184628,0.674712426,0.197106813
7,0.790011501,0.195201525,0.551080573,0.548612568,0.712872152,0.84538169,0.853089852,0.174072048,0.290584098,0.785563311,0.855516834,0.278085536,0.309588211,0.3212721,0.060372875,0.972976909,0.770179245,0.337303979,0.023491251,0.621231477,0.648496339,0.375489295,0.036272327,0.861907887,0.047706208
8,0.428905947,0.997410962,0.692502014,0.522751808,0.643952424,0.137052385,0.650023784,0.543027741,0.965077476,0.440539179,0.245549842,0.027789132,0.729456124,0.131676536,0.333275042,0.065000972,0.375210351,0.096725848,0.449867922,0.577706507,0.842773345,0.365576894,0.289486436,0.379525931,0.684947183
9,0.505459682,0.85129154,0.761097736,0.204860527,0.075279212,0.978877792,0.70202094,0.112736413,0.98444799,0.503642548,0.052576189,0.582711361,0.414791957,0.392693141,0.017272725,0.815805233,0.937133125,0.723104868,0.122383033,0.461703936,0.648998864,0.45708607,0.624170949,0.517576819,0.19332268
10,0.651040002,0.439785773,0.370174503,0.123932111,0.200834769,0.928397761,0.358708129,0.391430984,0.608952966,0.721117691,0.698054577,0.120242532,0.643361574,0.824733286,0.736647265,0.166572178,0.265598336,0.983133941,0.331752043,0.542512063,0.088738034,0.675649974,0.89781082,0.040103234,0.138155918
11,0.681580046,0.605370995,0.042693285,0.454440191,0.987423315,0.045481568,0.819543413,0.249496668,0.74333944,0.692627166,0.335594546,0.188735883,0.837693355,0.646312293,0.166029135,0.906126582,0.71740238,0.505137447,0.106356164,0.019255117,0.481527093,0.316216586,0.180314231,0.499609214,0.268832593
12,0.131196209,0.202464282,0.542673473,0.169869232,0.260410385,0.717152674,0.160196875,0.670946476,0.594758225,0.003640463,0.203793414,0.552395935,0.934276945,0.69255586,0.477789752,0.776986967,0.968790748,0.05380639,0.527322708,0.144382356,0.661587895,0.033103733,0.381031227,0.57196577,0.464742142
13,0.832424645,0.296768734,0.351589495,0.998942142,0.646101479,0.790489129,0.395075499,0.277215212,0.803851255,0.708067466,0.041984088,0.06544602,0.007862106,0.952505016,0.086331816,0.213681593,0.051620572,0.56275538,0.508989646,0.9760704,0.712471661,0.880747414,0.010315084,0.717658942,0.118184823
14,0.912560469,0.572338099,0.348348403,0.716342155,0.68280855,0.572909775,0.813290094,0.776914705,0.971004917,0.790804739,0.082585735,0.66445364,0.275569599,0.659786923,0.344600844,0.207013055,0.250849126,0.225726919,0.995392987,0.675894129,0.941550447,0.139914772,0.500123938,0.117166666,0.292742546
